Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-292.56555	73.051	-150.24646	-363.85938	-310.64838	29.014465	-269.7389	-344.50244	500.0	500.0	3999	-4.4641757	2.0445824	0.22987488	-9.523597	4.3159347	0.0030522398	103.42878556251526
2	-270.65964	85.37125	-141.19446	-374.90723	-294.70547	74.79823	-220.62085	-419.396	500.0	500.0	7999	-8.056631	2.208786	-1.6798054	-12.171436	7.560876	0.006374277	434.01921582221985
3	-276.071	65.14608	-195.62964	-378.45117	-216.49167	25.495092	-176.9143	-252.21411	500.0	500.0	11999	-6.8044443	2.8084278	0.24867217	-13.275754	6.322509	0.0054199295	629.4628376960754
4	-197.90436	84.62494	-9.505249	-311.65674	-268.0692	83.52555	-181.36206	-409.35767	444.25	500.0	15999	-7.877468	3.2168887	-0.9938135	-14.669133	7.4722977	0.008050602	829.6085124015808
5	-275.29138	50.552906	-209.6311	-353.50317	-262.15485	14.530731	-246.07104	-288.3308	500.0	500.0	19999	-9.617435	3.6079988	1.2919427	-24.590956	9.333363	0.008181862	1026.7627370357513
6	-265.37683	114.94836	-8.675537	-371.92407	-199.25084	100.986626	-4.1434937	-276.53015	448.1111	405.6	23999	-12.554943	5.111905	4.200677	-27.905901	12.23102	0.015729716	1222.869381904602
7	-200.82199	81.52967	-8.989014	-311.41797	-227.52359	34.103573	-198.47595	-292.45276	448.0	500.0	27999	-13.190067	6.134662	8.483714	-31.461515	12.816281	0.016205315	1421.2341601848602
8	-179.26607	83.635735	-13.183411	-254.65564	-295.17694	102.72146	-143.36877	-433.87964	418.1	500.0	31999	-13.502042	7.3095446	14.490713	-35.20241	13.107826	0.026698118	1619.0116851329803
9	-183.31464	112.90939	-3.6323853	-343.8506	-49.697815	34.318653	-23.384644	-117.58972	377.27274	194.0	35999	-13.0279455	8.462617	14.289907	-39.38527	12.638484	0.03150971	1815.931736946106
10	-148.05219	88.71743	-3.111267	-298.66675	-147.67369	36.74505	-105.71814	-214.6189	396.33334	500.0	39999	-13.222023	9.102806	14.593665	-42.43679	12.89466	0.03145213	2014.4900579452515
11	-176.94464	55.21748	-49.391235	-248.39258	-150.45988	11.087744	-133.19592	-163.1101	465.77777	500.0	43999	-13.638677	9.487646	14.036268	-46.841846	13.288434	0.031687167	2216.2401547431946
12	-120.08376	68.22481	-9.22345	-273.0927	-121.11672	92.24718	-6.5722046	-217.10767	411.5	315.8	47999	-12.741894	9.714127	14.107895	-47.59368	12.359058	0.03065347	2422.7290029525757
13	-80.92456	56.719887	-5.1604004	-172.82385	-50.91875	45.613514	-13.170776	-139.69812	342.5	217.6	51999	-11.6648035	10.083131	11.938892	-48.29476	11.2916	0.028059373	2641.9546360969543
14	-102.223076	71.56515	-8.673767	-202.3778	-58.550587	42.269535	-12.644226	-128.50732	356.81818	288.4	55999	-10.909338	10.117101	10.395655	-50.339592	10.551796	0.02569006	2860.031116962433
15	-84.44022	62.072002	-7.0186157	-193.67932	-49.317677	32.11676	-15.78949	-102.4259	344.41666	269.2	59999	-10.2898855	9.877655	9.473057	-51.12617	9.94307	0.02412432	3084.7964174747467
16	-42.24757	42.40719	-3.6230469	-155.45496	-97.27667	64.51257	-19.378723	-173.21259	194.94737	346.0	63999	-9.90874	9.445845	8.753447	-50.641685	9.582903	0.025340559	3323.4891197681427
17	-67.495705	56.704937	-2.9577637	-164.64728	-48.733864	51.599632	-16.563843	-151.5951	278.33334	192.4	67999	-9.589747	9.067699	5.695224	-48.714127	9.265308	0.023836842	3599.1303837299347
18	-44.488827	52.724274	-2.0513306	-201.24756	-49.315052	30.74157	-15.660889	-98.375244	169.18182	261.6	71999	-9.167487	8.661381	4.3975444	-46.19828	8.863946	0.02206327	3925.996322631836
19	-46.411808	36.12695	-2.9573364	-119.69592	-40.981506	37.340046	-9.634399	-106.526794	240.88889	230.0	75999	-9.057485	8.266202	3.361377	-45.521458	8.772614	0.024143485	4293.028519392014
20	-42.000824	31.609837	-3.9016724	-111.35199	-17.795446	10.204619	-3.0838623	-28.757507	212.0	67.6	79999	-8.796522	8.151539	2.6938932	-47.62778	8.506195	0.02416387	4677.000772476196
21	-23.642084	21.80993	-2.6695557	-113.477844	-43.064953	17.384176	-8.709106	-55.510437	104.052635	200.8	83999	-8.360317	7.9141293	2.367687	-50.361626	8.063873	0.024959175	5069.539715528488
22	-40.361694	44.52076	-2.6236572	-145.58044	-19.256641	13.140944	-2.711731	-41.45874	169.875	88.4	87999	-7.674703	7.799489	2.4073727	-51.681065	7.38496	0.025640504	5471.760756492615
23	-18.324286	23.644348	-2.1126099	-99.12189	-15.579443	6.296331	-7.533386	-25.291626	93.40476	57.6	91999	-7.7649765	7.771567	2.1788945	-53.713005	7.5273023	0.025322022	5876.552518606186
24	-17.955858	17.59527	-2.822754	-103.790955	-22.70304	32.196587	-3.1975098	-86.75665	78.51923	129.0	95999	-7.705706	7.8387156	1.9169576	-53.440838	7.429681	0.026950242	6289.53600525856
25	-30.097357	40.953487	-3.788208	-245.37695	-9.211841	3.4549332	-4.1584473	-14.893372	105.72973	38.6	99999	-7.024004	7.712113	1.8263518	-52.13919	6.7464604	0.02552644	6703.536863088608
26	-14.6403475	10.786765	-2.2891235	-51.74298	-4.0966554	0.81082135	-2.8099365	-5.0720215	62.123077	22.2	103999	-6.8101482	7.3768272	3.5861843	-50.69407	6.5566463	0.026374683	7122.750762462616
27	-16.266348	14.584329	-3.5219116	-82.06	-15.8456545	12.977298	-3.758728	-36.046875	69.74138	56.0	107999	-6.456029	7.055324	4.1704607	-50.53601	6.1931796	0.027010422	7543.724662542343
28	-16.909456	18.024174	-2.312378	-125.052734	-20.93341	23.297796	-2.336792	-66.57117	68.50877	107.4	111999	-6.1409154	6.7756934	4.9354753	-54.21868	5.9002695	0.027169298	7972.7975997924805
29	-20.910313	25.955791	-3.1862793	-134.31836	-16.99176	8.830024	-5.8841553	-31.451172	83.28571	55.6	115999	-6.186221	6.7753134	3.5996616	-56.678295	5.9590364	0.027230864	8399.956088781357
30	-12.625477	8.679566	-1.9061279	-36.169556	-23.628246	25.833195	-4.5446777	-74.10138	50.772152	138.6	119999	-6.0754476	6.4996514	1.7063787	-53.789783	5.8421593	0.026236529	8827.57817029953
31	-14.1847315	10.919091	-2.046875	-49.991028	-15.966248	9.243345	-3.6345825	-26.542786	56.444443	57.2	123999	-5.928536	6.4120026	2.0601432	-51.42593	5.7009473	0.02676244	9256.091759204865
32	-12.760896	12.483484	-2.055664	-83.20422	-12.114075	8.214158	-4.1447754	-27.84961	58.25	44.2	127999	-5.8135996	6.4614954	1.9978917	-49.097847	5.5935817	0.026357993	9685.937458276749
33	-16.19576	15.747484	-2.4550781	-84.77905	-7.0615478	4.345747	-2.1888428	-13.528564	71.0	39.2	131999	-5.673878	6.4973073	1.9700024	-50.177536	5.454295	0.024004513	10118.584952116013
34	-11.198823	10.775354	-1.982666	-79.5954	-9.722326	5.8371053	-2.699463	-18.863586	48.761906	39.6	135999	-5.5159526	6.3127813	1.4781103	-51.212822	5.306989	0.023663888	10550.550993204117
35	-11.630475	11.526719	-2.322937	-90.94037	-14.515284	7.404765	-6.914795	-27.691833	48.409637	56.0	139999	-5.674413	6.3968153	1.5079834	-54.84048	5.482596	0.0243312	10985.075643539429
