Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-315.7344	77.11043	-146.02446	-389.561	-344.52948	42.142056	-288.1021	-412.55087	500.0	500.0	3999	-3.925318	2.2924438	0.5567056	-9.737122	3.861217	0.0032812	36.762659788131714
2	-252.12042	73.654076	-124.526566	-384.661	-325.81824	49.16643	-263.97818	-403.5961	500.0	500.0	7999	-11.679039	3.5644577	-3.0683906	-20.745323	11.59577	0.0013847436	79.76957082748413
3	-279.78098	54.50478	-172.9247	-373.44193	-212.75899	115.08256	-3.6131797	-367.67242	500.0	404.5	11999	-17.641565	5.6094704	-3.048237	-29.618124	17.499418	0.004645089	118.59284973144531
4	-205.14279	100.486145	-6.9249644	-298.5921	-172.1684	76.13573	-6.717972	-265.05914	409.44446	452.8	15999	-19.759672	7.20972	-2.7231405	-35.475525	19.539972	0.026221806	158.69926142692566
5	-238.32144	27.713192	-201.23457	-279.64935	-279.20526	47.059406	-205.35327	-367.23383	500.0	500.0	19999	-20.749218	8.073677	-1.103157	-40.349537	20.506746	0.040408984	200.6962113380432
6	-230.71104	76.114685	-119.712524	-407.1338	-226.37666	115.83079	-2.8948033	-320.26547	500.0	403.9	23999	-21.442963	8.451204	0.3561147	-45.5187	21.192316	0.03438588	241.25589799880981
7	-210.65118	89.99428	-7.869021	-316.35474	-205.96306	73.41961	-5.277139	-263.1396	447.77777	452.2	27999	-22.356438	8.492975	-0.5027922	-52.07361	22.137405	0.04435676	283.777893781662
8	-216.09406	51.467857	-166.04504	-338.63898	-199.56468	35.731018	-152.66614	-285.84634	500.0	500.0	31999	-23.189125	8.82028	0.5431413	-53.837296	22.94313	0.051544834	325.15578532218933
9	-76.10005	95.10773	-3.1039438	-289.85468	-128.39159	117.351494	-3.7182503	-282.1657	207.05	274.5	35999	-22.485643	9.413609	1.6678421	-52.33344	22.20465	0.08430636	361.3991901874542
10	-190.98259	80.94895	-51.460014	-305.26562	-189.05186	47.54688	-52.459606	-221.92531	434.55554	465.8	39999	-21.67482	9.562479	3.4474535	-51.228752	21.377956	0.10806924	400.4206531047821
11	-130.10188	103.91232	-8.298253	-287.7523	-65.535385	62.296017	-4.052303	-184.75923	322.30768	222.6	43999	-20.40249	10.147707	9.803952	-52.959225	20.083967	0.11838718	435.55705642700195
12	-82.945755	94.3851	-2.4094152	-310.015	-127.15192	86.81873	-3.9767234	-278.07224	244.0625	364.6	47999	-18.973068	10.778098	9.284416	-54.874535	18.651289	0.13326304	473.9887104034424
