Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-314.8866	80.845345	-154.71333	-399.5798	-197.67342	61.054615	-118.662094	-294.21033	500.0	500.0	3999	-3.930675	1.836325	0.08240139	-9.112246	3.71033	0.004466554	74.93007326126099
2	-262.97714	77.20969	-136.25467	-407.63593	-154.53502	65.891754	-67.13095	-268.35666	500.0	500.0	7999	-8.492444	2.9419272	-0.6719866	-16.608677	8.160451	0.008665056	173.74459099769592
3	-244.97064	62.06368	-171.89137	-357.69098	-254.92505	56.864006	-179.90681	-341.1261	500.0	500.0	11999	-11.019788	4.2614336	-0.67261595	-22.135546	10.705161	0.010738069	271.5993175506592
4	-203.5636	86.75155	-66.39349	-353.34595	-164.08565	85.438805	-5.1983714	-267.25836	474.25	405.0	15999	-11.294255	4.8951836	-0.93166226	-23.012537	10.912592	0.013818516	354.4269151687622
5	-191.7063	73.715	-14.872332	-296.06802	-214.57425	52.026714	-107.512764	-306.27078	439.44446	500.0	19999	-11.597973	4.4282002	-1.3776649	-23.474415	11.263913	0.017863518	438.401650428772
6	-201.10318	47.27046	-118.84704	-265.33704	-214.17427	143.5571	-14.892131	-458.6127	500.0	430.2	23999	-12.345833	4.824402	0.3824122	-26.642963	12.029921	0.01733077	524.6403646469116
7	-147.29218	61.80808	-37.274403	-223.14966	-115.08272	42.309807	-13.930917	-159.89561	461.22223	433.7	27999	-12.778449	5.966687	2.1389768	-29.877117	12.467529	0.019104354	622.7626919746399
8	-135.17879	88.66498	-6.988741	-286.52203	-108.40027	106.808624	-4.0847464	-310.93002	374.8	283.2	31999	-12.252598	6.926821	3.1252751	-32.376675	11.9155035	0.01828202	721.9892690181732
9	-126.07401	69.52703	-6.671609	-249.94409	-132.10121	108.37861	-6.943962	-293.84396	447.8889	316.3	35999	-11.237465	6.8833356	3.1129038	-32.231056	10.880539	0.019093357	808.4826943874359
10	-111.62217	87.85512	-8.461439	-282.0857	-104.061646	70.82725	-7.118977	-220.87234	355.33334	351.2	39999	-10.458951	6.397941	3.1414092	-33.238697	10.137416	0.018756937	890.5666720867157
11	-124.15074	39.89854	-71.0205	-182.992	-101.11824	65.64215	-3.8504827	-187.46262	481.75	352.1	43999	-10.003617	6.174834	2.782476	-34.409138	9.680674	0.02030936	972.9599733352661
12	-123.60763	54.822388	-22.375406	-206.0086	-76.3163	41.144638	-8.280456	-139.21828	449.33334	330.0	47999	-9.475675	6.1263742	2.5952206	-34.423084	9.166107	0.018846348	1056.8130388259888
13	-136.86546	94.62445	-3.5727684	-274.73007	-98.44218	109.38558	-7.0553913	-359.91528	371.0	278.2	51999	-9.2771635	6.0002007	2.536111	-35.398163	8.998591	0.020917568	1144.337794303894
14	-109.79565	145.43697	-3.2862787	-453.05862	-232.96541	115.677704	-4.8543725	-335.4874	254.94118	407.0	55999	-9.659615	6.2512836	5.108857	-37.591614	9.394212	0.028292626	1235.0369622707367
15	-89.418594	110.793396	-7.20323	-326.88052	-53.26482	40.280087	-4.7302394	-119.345055	242.33333	271.3	59999	-10.136446	6.9681797	1.1085517	-43.496258	9.877842	0.02669884	1327.13649892807
16	-33.618282	30.924517	-3.2928135	-123.437195	-69.603615	48.657223	-3.0868814	-143.50516	173.30435	327.6	63999	-10.165452	7.6268673	0.790218	-45.588795	9.899524	0.03343979	1424.7545080184937
17	-35.195488	33.45567	-3.1349716	-118.70355	-35.734673	44.048523	-6.487915	-142.94144	164.74074	156.9	67999	-9.73557	7.9190936	0.80382156	-49.70802	9.461523	0.033215363	1530.9852669239044
18	-29.414568	36.680355	-4.713935	-159.8826	-23.13631	28.365082	-4.3954387	-97.38627	134.32143	125.0	71999	-9.125532	8.022229	1.1876138	-56.593117	8.8410225	0.035041574	1654.6154248714447
19	-29.840435	31.997755	-3.8541832	-133.97429	-28.082874	34.050697	-2.2332742	-110.20106	141.66667	147.0	75999	-8.283367	8.08539	1.9999615	-62.528038	8.017077	0.032459233	1800.5732672214508
