Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-317.4687	67.189804	-181.48184	-388.1861	-296.08038	64.17494	-167.27301	-382.86014	500.0	500.0	3999	-4.4079595	2.108822	1.0430386	-9.863499	4.278265	0.00647937	121.99960589408875
2	-257.73608	80.42611	-112.386314	-393.90662	-206.69548	93.260155	-2.7173672	-366.85376	500.0	452.2	7999	-10.347029	2.6959312	-0.9142347	-17.698864	10.093819	0.007418883	284.9069068431854
3	-267.044	43.5913	-200.80916	-338.47943	-237.78275	40.34142	-170.53416	-298.6315	500.0	500.0	11999	-12.645384	4.4416394	1.586583	-20.955778	12.2095785	0.012058411	451.2707669734955
4	-174.8124	66.95876	-33.665524	-233.31136	-274.95016	81.71622	-142.95288	-392.87518	456.375	500.0	15999	-10.347884	4.5839157	-0.5383657	-21.355602	9.917919	0.011685095	619.306380033493
5	-212.29538	70.4848	-138.84888	-378.92685	-293.26312	89.43239	-191.39919	-485.6246	500.0	500.0	19999	-10.533246	4.1949716	-0.3804078	-24.169832	10.220589	0.012872509	786.0763006210327
6	-260.9334	55.818634	-160.06184	-348.94107	-170.18224	73.24889	-5.212591	-247.36363	500.0	455.1	23999	-12.269746	4.8053875	-0.4531141	-26.605303	11.993648	0.0141835185	952.4662382602692
7	-167.82094	107.96049	-9.811399	-318.4779	-211.08035	118.78653	-9.209919	-380.79337	389.36365	455.4	27999	-13.304957	5.4064593	1.2453989	-28.459272	12.984146	0.019589268	1119.694765329361
8	-242.98012	120.44759	-19.582403	-438.87408	-183.7177	86.05711	-40.77553	-292.85037	454.5	442.2	31999	-13.073572	5.8600965	1.7582726	-35.572052	12.6746645	0.031754952	1286.4122993946075
9	-182.51994	103.55389	-19.404236	-399.9036	-159.13042	68.08421	-33.949055	-261.82486	435.7	451.5	35999	-12.528499	6.333545	0.94289756	-41.295868	12.1576	0.028833732	1455.5181577205658
10	-160.08495	93.37811	-31.712961	-351.54865	-163.03609	22.10452	-122.99705	-201.81111	413.44446	500.0	39999	-12.272653	6.7737865	0.22444606	-44.80713	11.920662	0.030458342	1623.9202723503113
11	-108.62624	76.21982	-1.5774766	-228.4479	-181.6336	47.90356	-105.51405	-250.59042	367.81818	500.0	43999	-11.989254	7.020843	0.53933036	-47.27566	11.6445875	0.028071877	1794.925793647766
12	-146.59062	67.471	-6.857981	-234.3975	-121.16414	89.73073	-4.308826	-215.36311	449.33334	327.9	47999	-11.893932	7.5748606	1.8147032	-50.87646	11.5636	0.030197058	1967.6927869319916
13	-105.7569	57.006382	-11.83331	-181.28758	-46.0283	41.98486	-4.3015575	-120.78786	386.9	250.0	51999	-12.053987	8.1783285	2.7531087	-53.519882	11.742881	0.03029844	2149.7015771865845
14	-58.244526	44.398346	-7.734499	-174.84671	-57.521496	43.21266	-19.89657	-135.01143	302.14285	271.4	55999	-11.347639	8.757947	4.1913056	-54.728596	10.97126	0.034661006	2335.08584690094
15	-61.64799	38.964676	-1.8499465	-119.48171	-69.7186	32.758007	-18.876804	-102.53528	292.7857	386.8	59999	-9.512518	8.562719	3.4798229	-55.583748	9.14882	0.034744132	2530.2189791202545
16	-45.40337	49.319145	-2.4740057	-177.30333	-49.488937	23.656893	-8.358948	-87.422585	209.63158	322.7	63999	-8.518509	7.97315	3.4046748	-57.420372	8.184838	0.033539984	2731.847396850586
17	-39.15521	34.67346	-2.0811799	-124.97329	-59.78127	46.9389	-11.976386	-162.21735	200.33333	292.3	67999	-7.8944793	7.8292246	3.214376	-62.447277	7.5846806	0.033352606	2958.9353954792023
18	-44.30748	40.979954	-2.2928085	-140.13664	-44.770107	42.94279	-2.4029806	-130.01755	239.61111	263.5	71999	-7.5520267	7.733856	3.258399	-63.215927	7.255744	0.030128103	3234.914438724518
19	-36.525265	32.053005	-5.746798	-123.68338	-46.97734	32.795406	-14.213041	-106.3328	206.55	208.1	75999	-7.232775	7.6425924	1.9713714	-61.332993	6.9569263	0.028964378	3554.3735988140106
20	-18.883919	21.99607	-1.8446647	-102.596985	-24.809742	16.73052	-2.5020807	-66.670746	108.35135	140.6	79999	-7.269442	7.550173	1.5184681	-56.075706	7.013113	0.029159253	3896.598049402237
21	-24.737608	26.375446	-2.554078	-136.09619	-39.979073	39.28569	-1.8321427	-104.41957	121.6875	243.1	83999	-7.1678567	7.464215	1.3625344	-51.42954	6.907971	0.029496906	4244.100067853928
22	-25.789604	25.528069	-1.1289276	-113.58059	-35.094387	29.489958	-7.119646	-106.26268	150.53847	177.6	87999	-7.1041517	7.4156046	1.7099676	-50.976562	6.8615885	0.030410383	4596.622287750244
