Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-536.57153	39.11593	-459.96048	-596.6628	-406.49603	35.943417	-351.88593	-464.35236	500.0	500.0	3999	-6.8227687	3.4999635	0.06779928	-17.455757	6.5734115	0.009823067	70.46750998497009
2	-533.17725	53.652428	-479.3454	-630.07245	-206.28894	71.80424	-35.220814	-291.11108	500.0	466.2	7999	-17.248522	4.8498387	-1.3043272	-33.283665	16.81834	0.017773686	160.68574619293213
3	-403.46606	121.23859	-216.83353	-578.0149	-269.38226	65.35406	-164.43394	-361.2929	500.0	500.0	11999	-24.393595	7.108732	0.022424094	-44.03437	23.90796	0.034243803	254.64529037475586
4	-283.2346	47.17555	-207.6896	-376.06494	-241.78467	52.699955	-178.25731	-350.0857	500.0	500.0	15999	-26.321697	9.890219	-1.0869122	-49.36243	25.828714	0.03363425	352.3912868499756
5	-305.40347	43.402798	-257.99335	-398.41724	-297.37646	39.3582	-249.26677	-378.02933	500.0	500.0	19999	-26.793377	10.350461	-4.240752	-51.974472	26.25089	0.037445404	446.5001676082611
6	-208.17616	95.96353	-25.74354	-304.53067	-200.00941	46.512024	-110.46183	-278.5243	448.25	500.0	23999	-25.827393	9.515924	-2.955786	-52.21425	25.374279	0.03890819	543.1317882537842
7	-224.66344	43.889847	-160.80432	-282.15952	-219.15198	51.986614	-78.769714	-288.95255	500.0	467.6	27999	-26.359083	10.978637	-0.923995	-57.010376	25.950277	0.04487234	637.6365888118744
8	-259.30777	57.109917	-186.93726	-352.22134	-267.69742	42.01455	-206.4522	-334.55792	500.0	500.0	31999	-27.54012	13.059623	-1.307267	-64.49506	27.22657	0.045303863	736.6005303859711
9	-246.613	22.489113	-216.63472	-285.83234	-237.52632	98.194046	1.0	-340.30893	497.5	450.1	35999	-27.92326	13.463201	0.6404648	-65.63051	27.479097	0.059441604	834.1535606384277
10	-288.73584	66.25006	-209.13882	-395.4746	-256.35504	46.107037	-148.1167	-315.90744	500.0	500.0	39999	-25.863785	11.79907	1.8498507	-64.55618	25.326908	0.0700851	930.0323445796967
11	-307.93146	66.67916	-229.80664	-435.26694	-274.048	73.00745	-177.80748	-471.62802	500.0	500.0	43999	-23.65707	12.101936	6.3065495	-64.67171	23.134333	0.08301614	1060.1174070835114
12	-263.59198	55.695942	-148.8298	-340.26215	-181.04996	64.826775	-26.86264	-283.8283	500.0	458.7	47999	-22.25644	13.101574	6.7067795	-69.02307	21.810417	0.08326509	1163.1490638256073
13	-146.7147	87.90348	-4.8541965	-334.3602	-119.35935	62.026665	0.4723272	-197.35147	397.54544	390.3	51999	-21.702425	14.31626	5.290531	-71.86023	21.287605	0.07196294	1264.0658128261566
14	-183.69199	68.91619	-32.64277	-252.59955	-292.54913	68.19097	-200.88597	-384.74423	452.125	500.0	55999	-20.881966	14.364949	4.154475	-72.00262	20.461735	0.066678286	1367.9174485206604
15	-143.28293	74.1166	-13.7974205	-291.49567	-179.48584	66.148544	-107.91606	-327.1013	429.6	500.0	59999	-20.429747	13.8455515	2.454821	-71.45406	20.06235	0.06460592	1473.6562101840973
16	-148.45583	17.032679	-122.21231	-176.52649	-173.16708	105.26203	-19.052073	-364.6206	500.0	437.6	63999	-20.542809	13.647943	1.95147	-72.96518	20.193579	0.065609284	1583.5035691261292
17	-134.41823	78.67308	1.0	-218.01076	-170.60782	65.192	-8.938291	-253.42061	377.0	453.5	67999	-20.459778	13.88946	2.4351134	-74.93231	20.12248	0.06945946	1700.2223417758942
18	-216.49962	22.935465	-183.53856	-261.44595	-184.35406	79.884995	-40.876945	-302.626	500.0	427.2	71999	-20.55233	13.469331	0.48258537	-74.93587	20.204205	0.07132454	1836.9867510795593
19	-167.5652	51.246937	-112.955055	-287.49356	-132.64153	92.494354	-33.770184	-348.9295	500.0	356.5	75999	-20.10474	12.418375	-0.07405427	-70.77357	19.74275	0.07020522	1989.5271410942078
20	-135.37631	25.899342	-97.53709	-186.919	-192.35287	63.671356	-55.24922	-316.23846	500.0	473.3	79999	-19.894209	12.100388	-0.64873546	-69.17341	19.604086	0.06310009	2153.9609758853912
21	-124.81341	49.5957	-10.670976	-166.72975	-144.25354	19.75612	-109.44401	-176.58017	432.8889	500.0	83999	-20.540392	12.907223	-1.1326287	-73.7003	20.267023	0.061233148	2319.6614484786987
22	-138.7875	60.091373	-1.5248408	-210.58603	-114.846596	75.89931	1.0	-229.54074	446.1111	390.4	87999	-20.838684	12.885858	-1.1867398	-74.61433	20.554356	0.06343328	2489.1752910614014
23	-150.06076	39.334236	-71.53066	-203.28677	-138.24019	65.51298	-1.5345169	-197.17455	459.625	412.6	91999	-20.836893	12.557321	0.45126024	-77.252205	20.557398	0.073396616	2660.820124387741
24	-101.12512	76.14396	0.73931944	-196.77283	-88.39156	49.653522	-1.6383922	-146.27077	322.30768	374.5	95999	-20.88463	12.574241	0.7431454	-77.98918	20.60179	0.06862686	2836.904399871826
25	-127.87043	43.406525	-48.44171	-211.9842	-106.50657	67.61792	-0.4478212	-186.13542	460.55554	366.0	99999	-20.693882	12.317003	0.27869332	-76.32022	20.414883	0.07453684	3014.587693452835
26	-138.66518	56.582973	-22.527285	-224.93489	-123.822754	50.526546	-20.30736	-198.78613	451.25	441.4	103999	-20.83415	12.854524	0.39634812	-79.41561	20.59341	0.07304694	3195.089371919632
27	-133.84473	98.13644	1.0	-279.25748	-108.986855	102.35778	-0.04780589	-271.5607	354.33334	311.8	107999	-20.739231	13.300256	5.03781	-79.983734	20.466599	0.07338371	3377.4398214817047
28	-154.38785	54.444748	-19.512882	-205.37624	-108.652756	67.58061	0.60823953	-231.92574	456.44446	406.3	111999	-20.811619	13.650825	2.4023533	-78.05106	20.581911	0.0770609	3561.988236427307
29	-82.06253	55.22103	-1.6810609	-167.03941	-92.40751	54.46251	-12.583636	-175.82219	324.83334	359.4	115999	-20.902178	14.389211	1.3314704	-80.15385	20.641867	0.07401436	3747.960328102112
30	-85.13015	51.485386	-2.7629945	-152.4198	-103.61076	80.37118	-1.5374869	-221.22447	337.41666	320.8	119999	-20.422123	14.034354	0.7547753	-82.451866	20.16606	0.07283557	3932.8906157016754
31	-133.75934	25.363974	-108.51079	-192.39894	-105.84694	70.0113	-3.3149967	-225.94275	481.875	380.7	123999	-20.0789	13.685355	0.4375179	-82.263664	19.82516	0.06984689	4121.170015573502
32	-91.244316	56.215004	-6.620176	-180.39261	-101.028564	89.472374	-2.5402355	-322.12808	375.9091	370.4	127999	-19.732075	13.503695	0.5839139	-80.46725	19.487232	0.06890093	4310.356475353241
33	-89.75597	85.60016	-7.575448	-329.03873	-121.06709	73.790764	-1.7909088	-245.25198	294.85715	419.6	131999	-19.559416	13.629433	26.558279	-81.548164	19.319622	0.077506565	4502.993264913559
34	-94.4378	59.46898	1.0	-172.99048	-58.336143	58.16726	-0.410499	-176.91698	346.45456	235.9	135999	-19.290041	13.447196	1.3005767	-81.49359	19.04695	0.070556976	4690.652261257172
35	-104.85781	59.39458	-3.7709198	-192.16034	-96.06757	113.50083	-3.5670784	-411.12805	381.81818	296.5	139999	-19.114454	13.488271	-0.110589564	-81.23052	18.886158	0.06991145	4883.825624227524
36	-77.75063	52.61391	-5.842596	-147.99957	-108.75432	78.39685	-3.376041	-226.75758	309.91666	352.4	143999	-18.909782	13.458602	-0.09427506	-85.055885	18.674551	0.06721523	5090.267704486847
37	-89.620285	56.881317	-1.9079311	-175.21591	-97.329384	60.719894	-3.4851694	-171.25096	350.0909	370.3	147999	-18.547895	12.8532505	0.0946998	-84.801865	18.312288	0.06515145	5297.845101594925
38	-97.0772	72.20373	-5.397586	-227.45872	-108.864395	64.67894	-12.9405155	-202.10402	346.75	379.6	151999	-18.311565	12.210725	0.07658112	-80.770065	18.085562	0.069588915	5488.472935676575
39	-106.72865	36.977768	-28.322636	-172.79118	-112.011826	76.20236	-19.974924	-247.26883	456.8889	349.7	155999	-18.219458	11.933653	5.942258	-79.26341	18.00992	0.06977996	5706.424897432327
40	-104.23088	59.29928	-6.626359	-175.87906	-120.93086	59.775787	-4.274203	-193.12173	378.1	414.4	159999	-18.294037	11.49856	0.16910753	-77.84592	18.09023	0.06991533	5911.24769449234
41	-92.76986	55.81426	-5.933979	-166.21532	-94.129074	64.79478	-1.5379469	-173.90044	356.66666	328.7	163999	-18.326	11.084254	-0.04312262	-75.96254	18.124062	0.06597714	6118.099563598633
42	-115.699615	50.434296	-19.036919	-216.9362	-107.78169	71.36513	-8.34424	-216.43982	454.55554	373.4	167999	-18.444466	11.29899	-0.40091446	-73.504875	18.251575	0.06482687	6335.668287277222
43	-105.05553	65.874374	-5.9884996	-235.29228	-114.66807	52.158287	-7.5330358	-183.77354	380.7	437.4	171999	-18.533117	11.514885	-0.5213256	-76.94993	18.345558	0.06544221	6544.565362691879
44	-94.21422	47.953796	-7.316287	-156.98073	-81.28777	63.480267	-7.645564	-164.96368	408.6	322.5	175999	-18.69585	11.64083	-0.7498096	-79.26627	18.51507	0.06359026	6738.501387357712
45	-106.42656	57.723457	-19.796907	-189.62444	-58.730354	48.095097	-0.117920056	-144.64813	391.0	267.9	179999	-18.991888	11.864567	-0.84080505	-78.5803	18.820986	0.06467682	6939.499353647232
46	-75.57273	58.022655	0.31864154	-155.4427	-78.85269	50.443565	-0.48975617	-139.70589	302.76923	336.8	183999	-19.198763	12.159416	-0.34907734	-78.94204	19.029423	0.06525127	7158.060845375061
47	-76.16804	42.446297	-1.6995043	-138.17293	-64.782486	47.775673	-5.843011	-123.02757	340.75	286.2	187999	-19.245726	12.252513	0.0013928413	-81.77655	19.064384	0.06674753	7352.158766031265
48	-89.823524	69.73711	-11.574215	-232.45937	-110.8188	69.63176	-11.275335	-190.442	341.0	339.4	191999	-19.104086	12.347421	-0.014009565	-81.60571	18.9231	0.07142177	7536.991967916489
49	-104.39836	57.383465	-5.0099382	-212.64655	-80.82351	51.182575	-19.928152	-153.51126	412.44446	347.4	195999	-19.122253	12.826911	0.3802795	-83.428276	18.952387	0.0665268	7721.291154623032
50	-129.54117	61.70507	-49.14425	-270.3504	-76.20619	54.080193	1.0	-145.08165	431.8	297.3	199999	-19.113241	13.007502	0.634004	-84.514084	18.945059	0.06536175	7920.264500379562
51	-81.42134	68.59696	-1.5026593	-191.65675	-99.42992	68.39135	-9.096401	-178.86476	285.2143	327.5	203999	-19.182283	12.901252	0.36273932	-85.279526	19.010025	0.07081521	8130.020622491837
52	-83.23942	74.82618	-1.2535027	-220.2243	-84.86026	71.29526	-4.1799	-180.33331	291.15384	287.9	207999	-19.04746	12.586945	0.29376802	-84.14495	18.87529	0.06434056	8340.0285820961
53	-82.18486	62.87749	-7.660359	-178.14981	-69.65459	48.30131	-7.0016522	-147.28618	321.66666	263.6	211999	-18.98667	12.441609	1.1219078	-83.87473	18.821674	0.06696027	8542.588487625122
54	-92.46906	57.186756	-5.107921	-178.34872	-76.85924	86.92931	-7.262882	-298.1582	362.27274	245.6	215999	-18.986162	12.538026	2.6170688	-84.67379	18.818472	0.07077846	8739.187187433243
55	-89.14807	63.334354	-5.3396587	-186.74701	-101.28584	49.363533	-9.65038	-171.2795	343.15384	416.7	219999	-18.81716	12.481508	0.41409943	-83.52122	18.64656	0.07306217	8935.67115354538
56	-96.55423	98.88492	-0.49603802	-330.69034	-116.057045	50.53337	-29.575222	-187.78122	275.07693	430.9	223999	-18.70709	12.379463	1.9264349	-85.64303	18.542469	0.07518432	9146.62458062172
57	-99.52929	57.623306	-5.254495	-173.34605	-120.503685	47.898247	-13.855836	-180.66374	367.83334	454.8	227999	-18.694221	12.222178	0.62347615	-86.20989	18.528595	0.0709974	9362.132432460785
58	-88.48267	58.622154	-3.921103	-185.593	-113.188194	42.253494	-18.73239	-174.9799	331.25	460.4	231999	-18.591753	11.947764	0.16255596	-86.92503	18.426723	0.07242398	9586.029405117035
59	-70.096695	47.21407	-6.780383	-152.11168	-118.85878	57.94351	-9.116066	-209.08931	288.23077	413.8	235999	-18.517458	11.857096	0.14537337	-84.24534	18.352638	0.07363586	9799.29569721222
60	-114.56416	58.573284	-22.22673	-211.24013	-76.48281	57.12838	-4.0687256	-143.80215	394.9	318.6	239999	-18.41096	11.646749	0.14756864	-82.13829	18.246574	0.073074386	10009.641859531403
61	-97.7198	53.730686	-3.1342955	-168.71268	-80.25211	60.83499	-11.268138	-175.27397	376.54544	299.4	243999	-18.29386	11.60905	0.19132301	-82.11335	18.134796	0.07499762	10226.57477402687
62	-119.522736	55.49251	-23.9974	-190.1156	-78.107254	46.758102	-14.86346	-149.0714	416.8889	342.0	247999	-18.31234	11.638254	0.8114029	-83.250496	18.150963	0.07169435	10435.170264959335
63	-83.11792	60.580357	-8.511888	-167.71185	-97.66524	55.466095	-11.636481	-174.78773	312.14285	380.2	251999	-18.272213	11.314004	0.6630775	-82.257095	18.115318	0.07702711	10639.54655456543
64	-80.26758	58.098866	-4.7510457	-175.0573	-76.10947	49.071575	-11.386113	-149.13098	299.75	333.2	255999	-18.268394	11.064932	0.91689295	-75.28366	18.110037	0.07586761	10856.914741516113
65	-80.9738	55.357136	-9.819448	-170.97624	-89.56221	50.738052	-11.025347	-154.23943	336.76923	375.9	259999	-18.131056	10.874252	1.3689964	-70.772	17.97634	0.07553901	11073.530908346176
66	-101.04633	47.00238	-6.4401217	-175.2515	-104.64314	45.321617	-5.86181	-179.50621	406.33334	427.3	263999	-18.096395	10.800471	1.5946633	-69.686005	17.948996	0.06992697	11302.086286783218
67	-92.27169	70.00517	-4.2492228	-192.20412	-72.24068	52.15068	-1.1653767	-158.52579	330.3846	326.3	267999	-18.179329	10.972962	1.4974697	-77.83538	18.036806	0.07413022	11520.93205499649
68	-132.87811	58.187298	-34.946133	-208.85689	-60.9357	64.13848	-3.1309586	-165.22893	430.66666	228.7	271999	-18.303896	11.225996	0.9888256	-78.472145	18.162224	0.069398604	11742.382038116455
69	-103.622314	59.614468	-11.917906	-191.60855	-78.52818	46.05968	1.0	-137.40788	382.8	333.4	275999	-18.380445	11.525288	0.93000567	-80.73678	18.23793	0.06775794	11960.625791549683
70	-84.14898	54.635635	-1.6157916	-179.66121	-125.47673	61.646595	-1.1611468	-199.48944	330.15384	411.2	279999	-18.415848	11.669059	0.9577246	-82.285934	18.26784	0.071503386	12178.987890005112
71	-55.85157	45.485424	-13.955965	-155.89352	-94.40192	51.226482	-4.502308	-154.84486	228.16667	372.6	283999	-18.25598	11.527234	1.121688	-81.59808	18.105623	0.0715154	12391.710934400558
72	-103.23878	60.92678	-19.952028	-189.3696	-85.60521	59.584793	0.298917	-156.559	359.9091	327.1	287999	-18.146263	11.551272	0.9785557	-80.69129	18.00518	0.07309223	12591.684487342834
73	-74.85477	55.319843	-3.7223032	-168.3424	-66.238	60.19454	-4.5092773	-191.81999	296.92307	251.5	291999	-18.290737	11.666608	0.9607531	-81.63802	18.154778	0.07206398	12790.665970802307
74	-98.948425	45.151207	-19.225317	-161.6984	-86.836044	56.327816	-1.3107291	-154.63191	421.2	358.3	295999	-18.26416	11.706983	1.4304385	-81.84267	18.126648	0.066461705	12994.143328428268
75	-84.49617	48.22621	-6.9624586	-145.1245	-91.36236	47.131516	-1.6928376	-150.36494	374.1	390.4	299999	-18.275778	11.574139	1.8435451	-81.13684	18.142742	0.07444202	13198.454548358917
76	-92.77125	51.665	-11.324153	-157.70123	-70.4038	50.357258	-4.89551	-133.15027	386.72726	320.2	303999	-18.33077	11.471211	0.9251219	-80.95816	18.199495	0.07529618	13402.257000207901
77	-63.84903	54.06834	-6.9730835	-161.126	-111.847145	37.914024	-26.592945	-175.04637	264.57144	460.8	307999	-18.429102	11.544018	2.05544	-84.51131	18.297878	0.07586849	13608.720164299011
78	-97.447266	52.565964	-0.65096146	-172.51685	-92.65908	60.908665	-13.632057	-207.3331	387.27274	327.0	311999	-18.482708	11.480971	3.0609913	-85.99426	18.354216	0.0770099	13820.403712272644
79	-124.817566	27.743284	-91.176315	-172.30232	-98.34238	55.2268	0.07718481	-193.29022	500.0	376.7	315999	-18.421324	11.144897	2.0102203	-84.02716	18.288282	0.078385636	14032.042028665543
80	-91.65584	54.452583	-5.684821	-158.23065	-76.48407	50.254192	-2.2040231	-136.19864	352.45456	329.3	319999	-18.336758	11.168794	-0.0410493	-85.701744	18.207588	0.070928685	14242.941648721695
81	-91.12642	14.821855	-56.793278	-105.22252	-105.10596	37.441345	-15.437565	-158.14647	480.0	460.0	323999	-18.425333	11.315608	-0.15498239	-87.95933	18.301088	0.07452774	14456.160516262054
82	-88.37942	48.627365	-13.817388	-152.66655	-99.82299	47.778336	-10.97821	-159.72357	359.36365	393.4	327999	-18.424555	11.186835	-0.46983147	-86.71355	18.298645	0.069075234	14677.971189975739
83	-88.41998	53.05178	-8.683321	-175.92955	-88.30937	56.73402	-22.199038	-172.5815	346.5	318.4	331999	-18.48544	11.1577	-0.92784905	-83.76718	18.361965	0.07820879	14905.4107503891
84	-77.17474	52.332542	-0.068998836	-140.79471	-100.96269	70.34825	-0.9365596	-201.73938	314.15384	334.3	335999	-18.461582	11.17327	-0.24616939	-82.6061	18.336702	0.07494798	15130.493239402771
85	-105.635414	40.678135	-9.471741	-143.88632	-79.979355	68.17473	-2.1578975	-174.90076	426.1111	283.2	339999	-18.421782	11.314719	-0.44878572	-85.47389	18.293825	0.07195947	15342.160517215729
86	-73.73259	65.49174	0.42194164	-181.36288	-62.316963	45.166027	-2.411107	-125.1513	268.8125	255.3	343999	-18.401728	11.48237	-0.5643009	-87.25612	18.278816	0.07309142	15554.265676736832
