Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-321.13327	70.90572	-178.07333	-393.02954	-282.5355	43.488087	-208.5006	-360.585	500.0	500.0	3999	-4.439669	2.138175	0.114308245	-10.325134	4.3126473	0.0041000806	58.604135274887085
2	-256.91187	71.74968	-147.28603	-403.8637	-201.65742	28.815197	-162.86267	-259.73477	500.0	500.0	7999	-10.455167	2.970897	-1.9424715	-18.764088	10.199144	0.009383667	134.56850814819336
3	-283.04974	48.780197	-208.3517	-360.3197	-178.84811	109.81599	-15.342863	-367.24817	500.0	459.1	11999	-13.511038	4.508391	-1.1559362	-24.467678	13.194054	0.0139705315	212.1187870502472
4	-177.71606	87.39904	-53.93268	-367.5569	-185.66954	55.88805	-79.47708	-286.8767	500.0	500.0	15999	-15.079644	6.010825	-0.17562151	-29.681845	14.805235	0.014478016	290.4924523830414
5	-156.58562	119.8138	-5.393763	-297.18582	-116.33635	47.418236	-5.181061	-197.45761	335.36365	417.9	19999	-14.872944	7.4020195	2.4296892	-31.396088	14.48716	0.025899293	368.7065236568451
6	-192.96254	84.717865	-7.462877	-299.14667	-142.84409	30.305033	-73.79452	-178.47917	448.44446	484.5	23999	-12.575113	7.8241343	4.1473045	-31.670427	12.172031	0.024193149	449.59716749191284
7	-152.88046	35.830654	-89.62334	-204.76115	-149.3597	61.82294	-6.81514	-251.45	500.0	433.3	27999	-10.67888	7.275913	4.750128	-30.378727	10.288347	0.019930348	527.822546005249
8	-116.75114	55.840107	-9.647671	-202.98286	-178.06898	71.297356	-12.048754	-292.7166	424.0	455.2	31999	-9.509286	6.2622843	7.8899527	-28.740704	9.1430645	0.019572487	607.3774833679199
9	-141.8898	60.585945	-10.044229	-225.9831	-126.7807	82.583305	-2.2753131	-272.03204	442.625	374.2	35999	-9.307632	5.6621075	10.17719	-27.798157	8.986349	0.020211803	687.5840656757355
10	-116.194824	91.016266	-6.253777	-273.52545	-75.937294	63.272163	-4.190822	-157.03249	339.46155	282.3	39999	-9.414167	5.573427	13.806928	-30.403435	9.087678	0.029384209	765.1076519489288
11	-82.112625	85.410645	-6.4655833	-263.18735	-69.94576	48.37088	-14.117893	-196.5947	259.93332	363.4	43999	-9.364752	6.2136583	12.631996	-38.28512	9.047989	0.03404808	844.7276306152344
12	-100.29534	46.220634	-8.121124	-171.70226	-109.99199	62.988544	-12.828944	-231.26176	405.1	401.9	47999	-8.852788	6.681703	9.6825905	-46.646484	8.501105	0.03582908	925.5486001968384
13	-51.565773	60.48124	-4.99031	-261.68768	-96.98171	129.85666	-4.4130654	-314.2745	204.2	181.4	51999	-7.946045	6.780084	8.805755	-54.824387	7.637236	0.03174211	1007.4669616222382
14	-49.549118	65.78698	-4.5866146	-291.39835	-38.16625	36.54578	-2.6320164	-104.9757	195.15	193.0	55999	-7.553042	7.0487704	6.752523	-55.451263	7.2390428	0.032069214	1091.3062245845795
15	-39.90158	41.29931	-2.399516	-150.56638	-45.29621	40.276722	-1.595163	-120.851685	174.59091	218.6	59999	-6.8330555	6.7665133	4.5035195	-52.961685	6.530418	0.029094044	1177.770912885666
16	-52.373978	48.74784	-4.5416517	-183.46	-60.026997	50.890186	-9.076166	-139.76056	200.85715	234.0	63999	-6.498214	6.4765377	3.670346	-45.50791	6.213983	0.028213084	1267.4155385494232
17	-53.523247	56.708267	-2.16589	-160.83344	-108.35769	92.89444	-2.4210007	-316.4483	208.42105	304.7	67999	-6.333073	6.397882	3.5921102	-43.763935	6.059426	0.02874508	1368.882165670395
18	-23.448124	28.356672	-2.1475248	-125.0541	-17.492767	25.23484	-2.9150736	-89.4694	113.888885	86.5	71999	-6.4303417	6.6051297	2.7795424	-45.84197	6.175837	0.02707228	1488.613948583603
19	-29.181038	50.420216	-2.3490922	-267.69562	-68.19515	60.50112	-5.62599	-162.70969	108.97222	256.6	75999	-6.4635563	6.709391	2.1152732	-43.795242	6.2124543	0.030610183	1631.4392957687378
20	-21.255363	22.699205	-2.3463871	-89.61761	-48.47952	41.773483	-2.200625	-117.67085	99.60976	241.5	79999	-6.503072	6.9417925	1.8658152	-48.3171	6.2548733	0.034736518	1782.3657984733582
21	-18.436743	14.1646	-2.34318	-68.82357	-14.19615	8.311442	-6.657701	-33.129612	81.23913	60.3	83999	-6.3550863	6.974884	2.5229995	-52.7434	6.1113524	0.034012582	1937.7934703826904
22	-11.466098	9.404532	-1.4413452	-54.099934	-14.09084	8.261637	-4.4977136	-33.194153	55.432434	63.1	87999	-6.2107744	7.100776	2.213484	-55.239094	5.9700556	0.0342806	2098.6212923526764
23	-15.219112	18.918709	-1.8141612	-107.33635	-13.691844	8.999765	-1.6241083	-29.81005	66.8871	53.1	91999	-5.948128	6.872212	1.8539574	-56.467	5.7128344	0.031830087	2263.525525331497
24	-17.04447	20.421616	-2.045198	-110.206696	-19.508966	18.040176	-2.7034607	-67.00099	80.24	95.4	95999	-5.7096305	6.67576	2.6079905	-55.189312	5.481373	0.032110933	2432.4873197078705
25	-12.50361	10.247417	-2.0654545	-57.659245	-21.178204	32.095253	-2.987425	-114.16889	57.3	93.0	99999	-5.599988	6.565209	2.594059	-57.70019	5.3856535	0.035049424	2604.9478554725647
26	-20.627047	27.499157	-2.2266612	-176.00476	-13.530695	11.339158	-1.9650857	-44.248055	79.68	57.3	103999	-5.5968127	6.594144	2.3062592	-59.872665	5.3862267	0.03497217	2778.3259060382843
27	-14.532801	13.8331375	-1.9346544	-61.856575	-16.072544	27.712362	-2.0215652	-96.27707	65.7377	81.1	107999	-5.5183287	6.666544	2.5834324	-60.60962	5.306248	0.034994055	2952.58846116066
28	-15.667085	10.642609	-1.7553961	-44.996006	-12.856821	8.175296	-2.8937433	-25.964722	65.590164	57.5	111999	-5.3511014	6.5511684	2.331707	-61.87283	5.1455364	0.034625683	3128.512310743332
29	-11.255048	11.783126	-1.5725939	-72.38807	-18.391993	27.498362	-4.0381284	-99.24627	50.670887	91.4	115999	-5.2524977	6.5296826	2.1661587	-62.387707	5.052503	0.033484224	3307.091075897217
30	-13.038098	16.393467	-2.150009	-128.65373	-8.5035305	7.618789	-2.0868104	-26.261877	54.863014	35.2	119999	-5.155234	6.6216965	2.3958766	-63.285164	4.961916	0.03426294	3488.6018376350403
31	-19.939642	49.63537	-2.1680229	-371.67575	-14.79357	10.761859	-3.0972452	-32.08564	67.10169	54.9	123999	-5.0367823	6.6070595	3.2067134	-60.80543	4.840391	0.035509504	3671.8955574035645
32	-12.854801	21.638847	-1.8708153	-186.01491	-14.011354	9.428671	-1.7272805	-31.082785	53.44	56.7	127999	-4.926721	6.592395	3.9718428	-63.625725	4.7349563	0.035969153	3857.3967792987823
33	-19.246222	30.577719	-1.8926598	-214.34546	-10.104464	8.744494	-1.8298367	-28.356892	73.43636	45.0	131999	-4.962863	6.6859612	2.4837894	-68.56916	4.788167	0.035304833	4044.090733766556
34	-11.868093	12.811123	-1.4137063	-92.864365	-16.761063	16.488022	-4.923144	-63.449535	52.906666	85.6	135999	-5.186121	6.7851696	2.0985432	-68.691376	5.016534	0.03674279	4233.4019610881805
35	-10.808416	8.080519	-1.7861362	-32.86896	-13.898282	7.6659155	-3.1780405	-25.00838	44.12088	61.1	139999	-5.3140707	6.7911243	2.1748655	-66.38913	5.1485415	0.03637243	4423.7151300907135
36	-10.710036	7.8801565	-2.053409	-29.462057	-8.139872	8.492241	-1.5460931	-27.602743	44.466667	33.2	143999	-5.4464684	7.0734715	2.3702216	-68.404305	5.2822175	0.036955204	4614.98030257225
37	-9.0387335	7.2658463	-1.4836906	-39.297626	-5.0941057	2.9650714	-1.7765015	-13.1694	39.66337	24.4	147999	-5.412837	7.160397	2.7430425	-69.980515	5.2481236	0.038845733	4807.027292966843
38	-9.945884	7.787984	-1.3822224	-31.883131	-11.175916	7.0110517	-3.3431396	-24.909193	44.18889	46.7	151999	-5.226547	7.042619	2.2821388	-72.53522	5.0566316	0.036832526	5001.857253074646
39	-11.224839	8.14396	-1.9073071	-31.201092	-9.333251	7.485053	-2.3741467	-21.91978	46.264366	39.5	155999	-4.9994216	6.668238	2.201302	-70.822876	4.8321915	0.03521032	5198.1811282634735
