Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-210.5936	222.20392	-29.093805	-694.55566	274.53845	-0.018053338	0.22967139	0.36146173	-0.40583932	4000	-0.029792115	4059.976	0.0	-962.5051	0.91894394	-5.722046e-09	34.52927565574646
1	-306.93326	266.23965	-52.661503	-770.9948	393.44446	-8.962647	0.2923898	-5.8176947	-9.142826	8000	-0.023781745	3497.8574	0.0	-640.98193	0.91894263	-6.1392784e-09	71.4063560962677
2	-201.62267	188.989	-27.980316	-667.3448	232.05882	-15.166192	0.16120723	-13.696954	-15.2601595	12000	-0.00037657356	3084.379	0.0	-477.1853	0.91880405	0.0	102.04875206947327
3	-265.53336	284.96573	-18.59323	-797.28485	323.16666	-20.460005	0.031597696	-20.03555	-20.472805	16000	0.01127961	2757.264	0.0	-438.06348	0.91872394	1.6093255e-09	137.76598691940308
4	-191.31093	195.25471	-32.72097	-718.75806	228.8125	-25.475273	0.043120265	-25.222775	-25.50226	20000	-0.009147705	1919.3087	0.0	-269.5382	0.9186671	3.1590461e-09	167.79001688957214
5	-193.78506	226.59048	-28.27695	-761.55273	247.0	-29.539701	0.09821753	-28.113014	-29.574385	24000	-0.021268513	1751.8896	0.0	-216.15283	0.9186071	6.8545343e-09	201.25770807266235
6	-161.23357	190.19882	-41.888695	-769.69324	209.21053	-33.279057	0.022478662	-32.807064	-33.28735	28000	-0.028391678	1291.2869	0.0	-112.98364	0.91856396	-1.37090685e-08	233.7223780155182
7	-199.90964	210.09906	-15.362915	-756.1338	264.6	-34.96003	6.179151	15.44625	-36.107697	32000	-0.03461616	1285.1423	0.0	-279.25873	0.91849464	1.6689301e-09	266.8600423336029
8	-155.29251	203.77312	-25.312609	-746.9803	211.55556	-39.01139	0.0028113206	-38.98752	-39.014008	36000	0.014459398	954.94763	0.0	-60.817444	0.91841245	2.5629998e-09	300.2007575035095
9	-272.30237	320.2296	-24.694466	-886.4329	363.54544	-41.22393	0.0067700245	-41.154034	-41.227257	40000	-0.023058109	1181.8418	0.0	-147.22424	0.9183367	6.556511e-09	332.5337743759155
10	-314.83942	252.98738	-47.471294	-756.398	368.4	-44.2845	1.9895866	-9.871389	-44.62181	44000	-0.042334363	1159.6981	0.0	-215.44257	0.91827863	1.2993812e-08	364.8183867931366
11	-299.51117	303.90268	-32.110107	-822.1665	395.1	-48.605324	0.027559623	-48.203407	-48.61357	48000	-0.03507144	819.971	0.0	-91.849976	0.9181928	3.0398368e-09	397.40085911750793
12	-164.88037	230.65143	-17.160444	-773.81116	218.11111	-51.505756	0.01748219	-51.26444	-51.510742	52000	-0.022395648	785.5014	0.0	-18.193848	0.9181044	3.5762786e-09	427.2882912158966
13	-179.20914	237.75095	-10.311443	-769.4669	235.23529	-52.886543	0.00067113276	-52.881565	-52.887238	56000	-0.046762016	799.02264	0.0	-17.64862	0.9180087	6.0200693e-09	457.403281211853
14	-108.29116	119.44312	-34.603	-557.22034	149.44	-54.072952	1.5794752	-10.384602	-54.198082	60000	-0.01230801	866.4754	0.0	-42.621277	0.91789776	-2.503395e-09	486.92967104911804
15	-166.29971	237.84322	-23.368536	-783.4548	246.5	-52.850105	0.0018755529	-52.839016	-52.851658	64000	-8.815575e-05	625.62415	0.0	-0.19873047	0.9178011	-1.1920929e-09	515.0793025493622
16	-111.17949	147.6063	-21.775106	-682.41785	158.6	-52.87031	0.31485036	-49.882683	-52.931904	68000	0.015716262	816.8735	0.0	-31.769775	0.9177112	7.7486035e-09	543.2734336853027
17	-117.312294	111.57448	-35.52351	-470.1017	169.42857	-47.528496	16.151213	43.77921	-51.758408	72000	-0.06206941	822.347	0.0	-152.42963	0.91763884	2.6226044e-09	572.7785406112671
18	-167.39413	220.42607	-12.760942	-799.0732	210.11111	-47.789227	12.030699	43.954258	-50.76822	76000	0.013985222	1331.2343	0.0	-423.47565	0.91754395	2.9802323e-09	602.5162255764008
19	-125.50002	149.91145	-17.354132	-511.98358	173.86957	-51.96486	2.1942804	-28.616901	-52.318104	80000	-0.031238489	763.4979	0.0	-145.45105	0.9174676	-6.377697e-09	629.6674263477325
20	-144.84366	199.18016	-14.942453	-766.30615	199.15	-43.24192	10.659885	-9.355661	-52.546387	84000	0.010369472	1208.0175	0.0	-519.0546	0.9173854	-3.516674e-09	659.4086244106293
21	-142.59929	213.17111	-18.480694	-810.435	190.8125	-41.70501	11.188266	3.7669806	-53.937595	88000	-0.0039480818	1077.3778	0.0	-539.8642	0.9173139	6.0796737e-09	688.0102744102478
22	-98.87095	156.6422	-23.062187	-733.75146	144.40741	-46.794704	8.543052	-35.863827	-57.179012	92000	-0.024558596	548.9205	0.0	-104.96631	0.9172509	4.1127204e-09	715.0805654525757
23	-94.109406	120.59688	-24.65066	-483.48914	129.61539	-43.11575	10.761643	-34.030964	-58.06021	96000	-0.025698025	628.78217	0.0	-82.85852	0.91718537	3.5762787e-10	744.192754983902
24	-90.32018	151.82213	-28.884956	-825.4359	130.11111	-43.770416	11.203039	-34.54652	-59.929058	100000	-0.008878721	602.90985	0.0	-111.88245	0.9171105	-2.7418137e-09	774.247457742691
25	-123.79513	209.13269	-20.85052	-868.9569	160.83333	-46.488464	12.407194	-34.523487	-61.473812	104000	0.027454987	722.8692	0.0	-102.04602	0.9170337	-3.4570693e-09	805.7858159542084
26	-97.38431	165.72368	-28.150503	-851.01324	138.07408	-44.97558	12.390763	-35.801716	-64.40989	108000	0.0005674105	631.7272	0.0	-167.62589	0.91698766	2.0861626e-09	835.0013589859009
27	-74.40801	133.01329	-10.534503	-836.74756	112.542854	-42.431145	11.558808	-35.32786	-65.43258	112000	-0.0476745	466.33417	0.0	-89.25241	0.91694134	3.5762787e-10	865.5000171661377
28	-77.237015	121.63697	-14.495096	-688.808	122.625	-41.863647	12.943174	-33.255974	-64.815186	116000	-0.0124692265	345.71487	0.0	-115.30568	0.91687953	-1.5497208e-09	895.7999212741852
29	-73.820206	139.26154	-18.30732	-828.00195	109.70968	-41.62864	15.249716	-29.546556	-64.13161	120000	-0.01571441	425.86612	0.0	-82.33981	0.9168173	3.6358834e-09	924.946049451828
30	-84.82755	122.50139	-16.21005	-604.4326	127.1	-40.71366	16.012808	-29.252678	-65.06559	124000	0.0038993235	325.23166	0.0	-27.380554	0.916752	-1.29342075e-08	954.2353129386902
31	-106.86727	205.00894	-10.4977	-866.81274	150.8077	-42.96778	17.222809	-26.712355	-65.09085	128000	-0.009863394	408.77368	0.0	-82.51904	0.9166953	8.3446505e-10	985.9521896839142
32	-81.07041	110.46902	-28.060896	-559.8251	117.23529	-39.32448	16.692116	-27.400038	-67.29603	132000	-0.05331025	503.01077	0.0	-110.50473	0.9166427	-7.390976e-09	1015.1888620853424
33	-104.76113	196.36552	-18.15166	-789.5669	154.39131	-47.683266	18.07853	-27.487417	-68.06939	136000	0.060432043	288.52774	0.0	-49.32399	0.9165756	5.2452087e-09	1045.5196135044098
34	-71.42134	135.16168	-10.779076	-790.207	108.4	-46.01812	18.799604	-27.516146	-69.21514	140000	-0.0006009407	321.72382	0.0	-78.8636	0.91654104	3.9935113e-09	1075.8077776432037
35	-65.43353	129.14876	-16.6738	-797.81793	99.5	-42.34024	19.667362	-26.982601	-69.939354	144000	-0.037107054	329.7724	0.0	-94.12109	0.9165106	-4.351139e-09	1106.1981763839722
36	-50.599663	62.183987	-12.866255	-480.8966	78.333336	-30.523891	13.4951105	-25.35703	-69.66475	148000	-0.011190462	241.5291	0.0	-33.18097	0.9164614	3.3378602e-09	1133.9663684368134
